ID;Event;Duration;Pattern Duration
0;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;35;0
1;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;30;0
2;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;66;0
3;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;45;0
4;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;54;0
5;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;37;0
6;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;99;0
7;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;100;0
8;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;54;0
9;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;66;0
10;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;94;0
11;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;89;0
12;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;53;0
13;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;27;0
14;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;74;0
15;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;41;0
16;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;98;0
17;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;39;0
18;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;72;0
19;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;89;0
20;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;82;0
21;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;59;0
22;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;31;0
23;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;55;0
24;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;71;0
25;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;61;0
26;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;29;0
27;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;118;0
28;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;67;0
29;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;79;0
30;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;97;0
31;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;95;0
32;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;39;0
33;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;96;0
34;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;62;0
35;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;75;0
36;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;68;0
37;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;29;0
38;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;94;0
39;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;71;0
40;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;96;0
41;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;58;0
42;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;55;0
43;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;54;0
44;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;45;0
45;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;55;0
46;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;55;0
47;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;61;0
48;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;39;0
49;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;60;0
50;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;56;0
51;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;39;0
52;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;61;0
53;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;58;0
54;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
55;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;49;0
56;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
57;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;45;0
58;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;67;0
59;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;80;0
60;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;76;0
61;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;61;0
62;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;38;0
63;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;69;0
64;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;31;0
65;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;53;0
66;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;50;0
67;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;45;0
68;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;57;0
69;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;66;0
70;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;41;0
71;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;31;0
72;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
73;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;62;0
74;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;36;0
75;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;51;0
76;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;104;0
77;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;44;0
78;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;35;0
79;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;89;0
80;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;32;0
81;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;45;0
82;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;79;0
83;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;96;0
84;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;84;0
85;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;52;0
86;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;39;0
87;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;44;0
88;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;48;0
89;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;62;0
90;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;46;0
91;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;48;0
92;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;61;0
93;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;71;0
94;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;67;0
95;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;81;0
96;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;93;0
97;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;31;0
98;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;63;0
99;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;58;0
100;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
101;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;48;0
102;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;41;0
103;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
104;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;46;0
105;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;98;0
106;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;49;0
107;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;67;0
108;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;58;0
109;0x36afdaf439a8f43fe72135135d804ae620b37a474f0943b5b85f6788312cad40;47;0
