ID;Event;Duration;Pattern Duration
0;EVENT: signature is verified;164;0
1;EVENT: signature is verified;54;0
2;EVENT: signature is verified;141;0
3;EVENT: signature is verified;103;0
4;EVENT: signature is verified;179;0
5;EVENT: signature is verified;130;0
6;EVENT: signature is verified;132;0
7;EVENT: signature is verified;104;0
8;EVENT: signature is verified;100;0
9;EVENT: signature is verified;57;0
10;EVENT: signature is verified;72;0
11;EVENT: signature is verified;74;0
12;EVENT: signature is verified;105;0
13;EVENT: signature is verified;48;0
14;EVENT: signature is verified;110;0
15;EVENT: signature is verified;65;0
16;EVENT: signature is verified;54;0
17;EVENT: signature is verified;114;0
18;EVENT: signature is verified;73;0
19;EVENT: signature is verified;132;0
20;EVENT: signature is verified;116;0
21;EVENT: signature is verified;88;0
22;EVENT: signature is verified;58;0
23;EVENT: signature is verified;102;0
24;EVENT: signature is verified;151;0
25;EVENT: signature is verified;105;0
26;EVENT: signature is verified;72;0
27;EVENT: signature is verified;72;0
28;EVENT: signature is verified;102;0
29;EVENT: signature is verified;123;0
30;EVENT: signature is verified;98;0
31;EVENT: signature is verified;96;0
32;EVENT: signature is verified;129;0
33;EVENT: signature is verified;55;0
34;EVENT: signature is verified;92;0
35;EVENT: signature is verified;85;0
36;EVENT: signature is verified;81;0
37;EVENT: signature is verified;90;0
38;EVENT: signature is verified;178;0
39;EVENT: signature is verified;121;0
40;EVENT: signature is verified;116;0
41;EVENT: signature is verified;559;0
42;EVENT: signature is verified;61;0
43;EVENT: signature is verified;126;0
44;EVENT: signature is verified;137;0
45;EVENT: signature is verified;110;0
46;EVENT: signature is verified;98;0
47;EVENT: signature is verified;110;0
48;EVENT: signature is verified;91;0
49;EVENT: signature is verified;54;0
50;EVENT: signature is verified;110;0
51;EVENT: signature is verified;115;0
52;EVENT: signature is verified;74;0
53;EVENT: signature is verified;123;0
54;EVENT: signature is verified;72;0
55;EVENT: signature is verified;126;0
56;EVENT: signature is verified;103;0
57;EVENT: signature is verified;52;0
58;EVENT: signature is verified;58;0
59;EVENT: signature is verified;56;0
60;EVENT: signature is verified;64;0
61;EVENT: signature is verified;118;0
62;EVENT: signature is verified;109;0
63;EVENT: signature is verified;127;0
64;EVENT: signature is verified;75;0
65;EVENT: signature is verified;106;0
66;EVENT: signature is verified;82;0
67;EVENT: signature is verified;165;0
68;EVENT: signature is verified;111;0
69;EVENT: signature is verified;140;0
70;EVENT: signature is verified;150;0
71;EVENT: signature is verified;121;0
72;EVENT: signature is verified;102;0
73;EVENT: signature is verified;130;0
74;EVENT: signature is verified;107;0
75;EVENT: signature is verified;93;0
76;EVENT: signature is verified;113;0
77;EVENT: signature is verified;181;0
78;EVENT: signature is verified;68;0
79;EVENT: signature is verified;126;0
80;EVENT: signature is verified;128;0
81;EVENT: signature is verified;90;0
82;EVENT: signature is verified;87;0
83;EVENT: signature is verified;154;0
84;EVENT: signature is verified;106;0
85;EVENT: signature is verified;105;0
86;EVENT: signature is verified;105;0
87;EVENT: signature is verified;104;0
88;EVENT: signature is verified;110;0
89;EVENT: signature is verified;80;0
90;EVENT: signature is verified;66;0
91;EVENT: signature is verified;119;0
92;EVENT: signature is verified;108;0
93;EVENT: signature is verified;79;0
94;EVENT: signature is verified;73;0
95;EVENT: signature is verified;88;0
96;EVENT: signature is verified;122;0
97;EVENT: signature is verified;113;0
98;EVENT: signature is verified;80;0
99;EVENT: signature is verified;112;0
100;EVENT: signature is verified;82;0
101;EVENT: signature is verified;84;0
102;EVENT: signature is verified;104;0
103;EVENT: signature is verified;106;0
104;EVENT: signature is verified;102;0
105;EVENT: signature is verified;120;0
106;EVENT: signature is verified;79;0
107;EVENT: signature is verified;121;0
108;EVENT: signature is verified;93;0
109;EVENT: signature is verified;57;0
110;EVENT: signature is verified;118;0
111;EVENT: signature is verified;112;0
112;EVENT: signature is verified;89;0
113;EVENT: signature is verified;137;0
114;EVENT: signature is verified;95;0
115;EVENT: signature is verified;107;0
116;EVENT: signature is verified;60;0
117;EVENT: signature is verified;123;0
118;EVENT: signature is verified;121;0
119;EVENT: signature is verified;44;0
120;EVENT: signature is verified;102;0
121;EVENT: signature is verified;64;0
122;EVENT: signature is verified;98;0
123;EVENT: signature is verified;102;0
124;EVENT: signature is verified;92;0
125;EVENT: signature is verified;129;0
126;EVENT: signature is verified;85;0
127;EVENT: signature is verified;115;0
128;EVENT: signature is verified;88;0
129;EVENT: signature is verified;59;0
130;EVENT: signature is verified;78;0
131;EVENT: signature is verified;136;0
132;EVENT: signature is verified;54;0
133;EVENT: signature is verified;103;0
134;EVENT: signature is verified;106;0
135;EVENT: signature is verified;119;0
136;EVENT: signature is verified;122;0
137;EVENT: signature is verified;65;0
138;EVENT: signature is verified;108;0
139;EVENT: signature is verified;119;0
140;EVENT: signature is verified;115;0
141;EVENT: signature is verified;116;0
142;EVENT: signature is verified;118;0
143;EVENT: signature is verified;60;0
144;EVENT: signature is verified;112;0
145;EVENT: signature is verified;94;0
146;EVENT: signature is verified;53;0
147;EVENT: signature is verified;97;0
148;EVENT: signature is verified;78;0
149;EVENT: signature is verified;151;0
150;EVENT: signature is verified;61;0
151;EVENT: signature is verified;81;0
152;EVENT: signature is verified;220;0
153;EVENT: signature is verified;50;0
154;EVENT: signature is verified;85;0
155;EVENT: signature is verified;106;0
156;EVENT: signature is verified;134;0
157;EVENT: signature is verified;53;0
158;EVENT: signature is verified;51;0
159;EVENT: signature is verified;81;0
160;EVENT: signature is verified;132;0
161;EVENT: signature is verified;60;0
162;EVENT: signature is verified;114;0
163;EVENT: signature is verified;105;0
164;EVENT: signature is verified;111;0
165;EVENT: signature is verified;111;0
166;EVENT: signature is verified;117;0
167;EVENT: signature is verified;115;0
168;EVENT: signature is verified;60;0
169;EVENT: signature is verified;54;0
170;EVENT: signature is verified;122;0
171;EVENT: signature is verified;102;0
172;EVENT: signature is verified;115;0
173;EVENT: signature is verified;73;0
174;EVENT: signature is verified;77;0
175;EVENT: signature is verified;108;0
176;EVENT: signature is verified;54;0
177;EVENT: signature is verified;71;0
178;EVENT: signature is verified;125;0
179;EVENT: signature is verified;39;0
180;EVENT: signature is verified;116;0
181;EVENT: signature is verified;165;0
182;EVENT: signature is verified;70;0
183;EVENT: signature is verified;102;0
184;EVENT: signature is verified;107;0
185;EVENT: signature is verified;65;0
186;EVENT: signature is verified;142;0
187;EVENT: signature is verified;123;0
188;EVENT: signature is verified;98;0
189;EVENT: signature is verified;95;0
190;EVENT: signature is verified;126;0
