ID;Event;Duration;Pattern Duration
0;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;219;0
1;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
2;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
3;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
4;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;12;0
5;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;267;0
6;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
7;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;15;0
8;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
9;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;12;0
10;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;12;0
11;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;22;0
12;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
13;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
14;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
15;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;15;0
16;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
17;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
18;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
19;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
20;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
21;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
22;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
23;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
24;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
25;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
26;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
27;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
28;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
29;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;130;0
30;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
31;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
32;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
33;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
34;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
35;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
36;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
37;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
38;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
39;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
40;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;12;0
41;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
42;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
43;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;16;0
44;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
45;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;15;0
46;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
47;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
48;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;15;0
49;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
50;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;13;0
51;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;18;0
52;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
53;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;14;0
54;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;16;0
55;0xd42de95a9b26f1be134c8ecce389dc4fcfa18753d01661b7b361233569e8fe48;15;0
