ID;Event;Duration;Pattern Duration
0;EVENT: signature is verified;544;0
1;EVENT: signature is verified;42;0
2;EVENT: signature is verified;42;0
3;EVENT: signature is verified;42;0
4;EVENT: signature is verified;38;0
5;EVENT: signature is verified;36;0
6;EVENT: signature is verified;37;0
7;EVENT: signature is verified;41;0
8;EVENT: signature is verified;37;0
9;EVENT: signature is verified;439;0
10;EVENT: signature is verified;36;0
11;EVENT: signature is verified;36;0
12;EVENT: signature is verified;41;0
13;EVENT: signature is verified;262;0
14;EVENT: signature is verified;95;0
15;EVENT: signature is verified;77;0
16;EVENT: signature is verified;59;0
17;EVENT: signature is verified;71;0
18;EVENT: signature is verified;57;0
19;EVENT: signature is verified;39;0
20;EVENT: signature is verified;48;0
21;EVENT: signature is verified;40;0
22;EVENT: signature is verified;40;0
23;EVENT: signature is verified;36;0
24;EVENT: signature is verified;41;0
25;EVENT: signature is verified;42;0
26;EVENT: signature is verified;53;0
27;EVENT: signature is verified;1774;0
28;EVENT: signature is verified;56;0
29;EVENT: signature is verified;900;0
30;EVENT: signature is verified;37;0
31;EVENT: signature is verified;38;0
32;EVENT: signature is verified;35;0
33;EVENT: signature is verified;53;0
34;EVENT: signature is verified;36;0
35;EVENT: signature is verified;32;0
36;EVENT: signature is verified;35;0
37;EVENT: signature is verified;36;0
38;EVENT: signature is verified;33;0
39;EVENT: signature is verified;43;0
40;EVENT: signature is verified;255;0
41;EVENT: signature is verified;36;0
42;EVENT: signature is verified;47;0
43;EVENT: signature is verified;37;0
44;EVENT: signature is verified;34;0
45;EVENT: signature is verified;46;0
46;EVENT: signature is verified;38;0
47;EVENT: signature is verified;39;0
48;EVENT: signature is verified;38;0
49;EVENT: signature is verified;35;0
50;EVENT: signature is verified;37;0
51;EVENT: signature is verified;46;0
52;EVENT: signature is verified;42;0
53;EVENT: signature is verified;256;0
54;EVENT: signature is verified;443;0
55;EVENT: signature is verified;39;0
56;EVENT: signature is verified;241;0
57;EVENT: signature is verified;52;0
58;EVENT: signature is verified;33;0
59;EVENT: signature is verified;32;0
60;EVENT: signature is verified;189;0
61;EVENT: signature is verified;153;0
62;EVENT: signature is verified;118;0
63;EVENT: signature is verified;33;0
64;EVENT: signature is verified;32;0
65;EVENT: signature is verified;32;0
66;EVENT: signature is verified;191;0
67;EVENT: signature is verified;31;0
68;EVENT: signature is verified;48;0
69;EVENT: signature is verified;32;0
70;EVENT: signature is verified;45;0
71;EVENT: signature is verified;131;0
72;EVENT: signature is verified;43;0
73;EVENT: signature is verified;104;0
74;EVENT: signature is verified;37;0
75;EVENT: signature is verified;37;0
76;EVENT: signature is verified;78;0
77;EVENT: signature is verified;38;0
78;EVENT: signature is verified;35;0
79;EVENT: signature is verified;103;0
80;EVENT: signature is verified;45;0
81;EVENT: signature is verified;103;0
82;EVENT: signature is verified;33;0
83;EVENT: signature is verified;116;0
84;EVENT: signature is verified;34;0
85;EVENT: signature is verified;38;0
86;EVENT: signature is verified;34;0
87;EVENT: signature is verified;38;0
88;EVENT: signature is verified;35;0
89;EVENT: signature is verified;41;0
90;EVENT: signature is verified;40;0
91;EVENT: signature is verified;37;0
92;EVENT: signature is verified;129;0
93;EVENT: signature is verified;34;0
94;EVENT: signature is verified;36;0
95;EVENT: signature is verified;47;0
96;EVENT: signature is verified;35;0
97;EVENT: signature is verified;35;0
98;EVENT: signature is verified;36;0
99;EVENT: signature is verified;34;0
100;EVENT: signature is verified;36;0
101;EVENT: signature is verified;49;0
102;EVENT: signature is verified;35;0
103;EVENT: signature is verified;35;0
104;EVENT: signature is verified;34;0
105;EVENT: signature is verified;36;0
106;EVENT: signature is verified;35;0
107;EVENT: signature is verified;37;0
108;EVENT: signature is verified;36;0
109;EVENT: signature is verified;37;0
110;EVENT: signature is verified;35;0
111;EVENT: signature is verified;37;0
112;EVENT: signature is verified;33;0
113;EVENT: signature is verified;33;0
114;EVENT: signature is verified;42;0
115;EVENT: signature is verified;33;0
116;EVENT: signature is verified;33;0
117;EVENT: signature is verified;36;0
118;EVENT: signature is verified;33;0
119;EVENT: signature is verified;31;0
120;EVENT: signature is verified;32;0
121;EVENT: signature is verified;31;0
122;EVENT: signature is verified;33;0
123;EVENT: signature is verified;34;0
124;EVENT: signature is verified;32;0
125;EVENT: signature is verified;45;0
126;EVENT: signature is verified;41;0
127;EVENT: signature is verified;34;0
128;EVENT: signature is verified;36;0
129;EVENT: signature is verified;32;0
130;EVENT: signature is verified;39;0
131;EVENT: signature is verified;36;0
132;EVENT: signature is verified;35;0
133;EVENT: signature is verified;37;0
134;EVENT: signature is verified;35;0
135;EVENT: signature is verified;36;0
136;EVENT: signature is verified;34;0
137;EVENT: signature is verified;36;0
138;EVENT: signature is verified;54;0
139;EVENT: signature is verified;39;0
140;EVENT: signature is verified;32;0
141;EVENT: signature is verified;35;0
142;EVENT: signature is verified;37;0
143;EVENT: signature is verified;35;0
144;EVENT: signature is verified;46;0
145;EVENT: signature is verified;34;0
146;EVENT: signature is verified;43;0
147;EVENT: signature is verified;35;0
148;EVENT: signature is verified;254;0
149;EVENT: signature is verified;34;0
150;EVENT: signature is verified;38;0
151;EVENT: signature is verified;54;0
152;EVENT: signature is verified;42;0
153;EVENT: signature is verified;37;0
154;EVENT: signature is verified;125;0
155;EVENT: signature is verified;38;0
156;EVENT: signature is verified;41;0
