ID;Event;Duration;Pattern Duration
0;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;20;0
1;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;24;0
2;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
3;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;23;0
4;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;25;0
5;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;23;0
6;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
7;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;19;0
8;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;20;0
9;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
10;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;21;0
11;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;24;0
12;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;20;0
13;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;22;0
14;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
15;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;23;0
16;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;21;0
17;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;23;0
18;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
19;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;20;0
20;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
21;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;20;0
22;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;21;0
23;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
24;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
25;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;23;0
26;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;24;0
27;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
28;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;22;0
29;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
30;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
31;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;22;0
32;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;22;0
33;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;19;0
34;0x882df69720ac5a9356b84d2aaa32d0c105b24cab60e885ba3d69b77090ff05c6;22;0
35;0xa67d828453163879637ade5a7d51abb746669dbc34d7e2149e8fec3bf71fff54;21;0
