ID;Event;Duration;Pattern Duration
0;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
1;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
2;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
3;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
4;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;62;0
5;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
6;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
7;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
8;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
9;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;55;0
10;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
11;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
12;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
13;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
14;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;61;0
15;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
16;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
17;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;70;0
18;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;61;0
19;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
20;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;57;0
21;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
22;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
23;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
24;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
25;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
26;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
27;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;57;0
28;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
29;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;56;0
30;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
31;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
32;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
33;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
34;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
35;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
36;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
37;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
38;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;76;0
39;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;61;0
40;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
41;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
42;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
43;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
44;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;73;0
45;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
46;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
47;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
48;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
49;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
50;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
51;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;59;0
52;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;61;0
53;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
54;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;60;0
55;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;57;0
56;0x25d9ba23b0ca0ee654810c300fb909ccd157284b6d6f5b1b78a47bfa04771243;58;0
