ID;Event;Duration;Pattern Duration
0;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
1;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
2;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
3;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
4;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
5;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
6;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
7;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
8;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
9;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
10;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
11;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
12;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
13;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
14;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
15;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
16;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
17;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
18;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
19;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
20;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
21;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
22;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
23;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
24;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
25;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
26;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
27;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
28;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
29;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
30;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
31;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
32;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
33;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
34;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
35;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;5;0
36;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
37;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
38;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
39;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
40;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
41;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
42;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
43;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
44;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
45;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
46;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
47;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
48;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
49;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
50;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
51;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
52;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
53;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
54;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
55;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
56;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
57;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
58;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
59;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
60;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
61;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
62;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
63;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
64;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
65;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
66;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
67;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
68;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
69;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
70;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
71;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
72;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
73;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
74;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
75;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
76;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
77;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
78;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
79;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
80;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
81;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
82;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
83;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
84;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
85;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
86;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
87;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
88;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
89;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
90;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
91;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
92;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
93;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
94;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
95;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
96;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
97;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
98;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
99;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
100;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
101;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
102;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
103;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
104;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
105;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
106;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
107;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
108;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
109;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
110;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
111;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
112;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
113;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
114;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
115;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
116;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
117;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
118;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
119;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
120;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
121;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;3;0
122;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;4;0
123;0x1feff2cbe269a938b37c74ec167a90b53e341b3b9476877c66352a1b0c8323d9;2;0
