ID;Event;Duration;Pattern Duration
0;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;79;0
1;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
2;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
3;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
4;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
5;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
6;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
7;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
8;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
9;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
10;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;79;0
11;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
12;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
13;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
14;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
15;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
16;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
17;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;80;0
18;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
19;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
20;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;81;0
21;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
22;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
23;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
24;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
25;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
26;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;79;0
27;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
28;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
29;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;83;0
30;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
31;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
32;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
33;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;78;0
34;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
35;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
36;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;82;0
37;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;73;0
38;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
39;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
40;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
41;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
42;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;76;0
43;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
44;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
45;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;74;0
46;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
47;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;75;0
48;0x9685971ce323aadcdbcd895683b8947d4454b020a263e7fa49aefb0fd0c9317d;77;0
