ID;Event;Duration;Pattern Duration
0;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;109;0
1;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;107;0
2;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;105;0
3;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
4;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;109;0
5;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;107;0
6;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;107;0
7;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
8;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;110;0
9;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;111;0
10;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;112;0
11;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
12;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;106;0
13;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;111;0
14;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;112;0
15;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;106;0
16;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;109;0
17;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;107;0
18;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;110;0
19;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
20;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;110;0
21;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;113;0
22;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
23;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;106;0
24;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
25;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;105;0
26;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;107;0
27;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;110;0
28;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;108;0
29;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;112;0
30;0x97116cf6cd4f6412bb47914d6db18da9e16ab2142f543b86e207c24fbd16b23a;111;0
